12c00000-13580000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
71bdb000-71bdc000 r--s 00000000 fd:06 35253248                           /system/framework/boot-core-libart.vdex
71bdc000-71bdd000 r--p 001da000 fd:06 29827806                           /system/framework/arm64/boot-core-libart.oat
71bdd000-71bde000 rw-p 001db000 fd:06 29827806                           /system/framework/arm64/boot-core-libart.oat
71bde000-71bf4000 r--p 00000000 fd:06 29851766                           /system/framework/arm64/boot-okhttp.oat
71bf4000-71c3d000 r-xp 00016000 fd:06 29851766                           /system/framework/arm64/boot-okhttp.oat
71c3d000-71c3e000 rw-p 00000000 00:00 0                                  [anon:.bss]
71c3e000-71c3f000 r--s 00000000 fd:06 29842788                           /system/framework/boot-okhttp.vdex
71c3f000-71c40000 r--p 0005f000 fd:06 29851766                           /system/framework/arm64/boot-okhttp.oat
71c40000-71c41000 rw-p 00060000 fd:06 29851766                           /system/framework/arm64/boot-okhttp.oat
71c41000-71c5e000 r--p 00000000 fd:06 29521780                           /system/framework/arm64/boot-bouncycastle.oat
71c5e000-71cba000 r-xp 0001d000 fd:06 29521780                           /system/framework/arm64/boot-bouncycastle.oat
71cba000-71cbb000 rw-p 00000000 00:00 0                                  [anon:.bss]
71cbb000-71cbc000 r--s 00000000 fd:06 35253120                           /system/framework/boot-bouncycastle.vdex
71cbc000-71cbd000 r--p 00079000 fd:06 29521780                           /system/framework/arm64/boot-bouncycastle.oat
71cbd000-71cbe000 rw-p 0007a000 fd:06 29521780                           /system/framework/arm64/boot-bouncycastle.oat
71cbe000-71cc8000 r--p 00000000 fd:06 29521521                           /system/framework/arm64/boot-apache-xml.oat
71cc8000-71cda000 r-xp 0000a000 fd:06 29521521                           /system/framework/arm64/boot-apache-xml.oat
71cda000-71cdb000 rw-p 00000000 00:00 0                                  [anon:.bss]
71cdb000-71cdc000 r--s 00000000 fd:06 29434072                           /system/framework/boot-apache-xml.vdex
71cdc000-71cdd000 r--p 0001c000 fd:06 29521521                           /system/framework/arm64/boot-apache-xml.oat
71cdd000-71cde000 rw-p 0001d000 fd:06 29521521                           /system/framework/arm64/boot-apache-xml.oat
71cde000-71fbb000 r--p 00000000 fd:06 29531116                           /system/framework/arm64/boot-framework.oat
71fbb000-72a17000 r-xp 002dd000 fd:06 29531116                           /system/framework/arm64/boot-framework.oat
72a17000-72a1a000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a1a000-72a24000 r--s 00000000 fd:06 29760622                           /system/framework/boot-framework.vdex
72a24000-72a25000 r--p 00d39000 fd:06 29531116                           /system/framework/arm64/boot-framework.oat
72a25000-72a26000 rw-p 00d3a000 fd:06 29531116                           /system/framework/arm64/boot-framework.oat
72a26000-72a30000 r--p 00000000 fd:06 29524982                           /system/framework/arm64/boot-ext.oat
72a30000-72a4b000 r-xp 0000a000 fd:06 29524982                           /system/framework/arm64/boot-ext.oat
72a4b000-72a4c000 rw-p 00000000 00:00 0                                  [anon:.bss]
72a4c000-72a4d000 r--s 00000000 fd:06 29572186                           /system/framework/boot-ext.vdex
72a4d000-72a4e000 r--p 00025000 fd:06 29524982                           /system/framework/arm64/boot-ext.oat
72a4e000-72a4f000 rw-p 00026000 fd:06 29524982                           /system/framework/arm64/boot-ext.oat
72a4f000-72ac0000 r--p 00000000 fd:06 29543772                           /system/framework/arm64/boot-telephony-common.oat
72ac0000-72c4d000 r-xp 00071000 fd:06 29543772                           /system/framework/arm64/boot-telephony-common.oat
72c4d000-72c4e000 rw-p 00000000 00:00 0                                  [anon:.bss]
72c4e000-72c4f000 r--s 00000000 fd:06 35254912                           /system/framework/boot-telephony-common.vdex
72c4f000-72c50000 r--p 001fe000 fd:06 29543772                           /system/framework/arm64/boot-telephony-common.oat
72c50000-72c51000 rw-p 001ff000 fd:06 29543772                           /system/framework/arm64/boot-telephony-common.oat
72c51000-72c53000 r--p 00000000 fd:06 29705332                           /system/framework/arm64/boot-voip-common.oat
72c53000-72c54000 r-xp 00002000 fd:06 29705332                           /system/framework/arm64/boot-voip-common.oat
72c54000-72c55000 rw-p 00000000 00:00 0                                  [anon:.bss]
72c55000-72c56000 r--s 00000000 fd:06 29846756                           /system/framework/boot-voip-common.vdex
72c56000-72c57000 r--p 00003000 fd:06 29705332                           /system/framework/arm64/boot-voip-common.oat
72c57000-72c58000 rw-p 00004000 fd:06 29705332                           /system/framework/arm64/boot-voip-common.oat
72c58000-72c5d000 r--p 00000000 fd:06 29851755                           /system/framework/arm64/boot-ims-common.oat
72c5d000-72c69000 r-xp 00005000 fd:06 29851755                           /system/framework/arm64/boot-ims-common.oat
72c69000-72c6a000 rw-p 00000000 00:00 0                                  [anon:.bss]
72c6a000-72c6b000 r--s 00000000 fd:06 29842296                           /system/framework/boot-ims-common.vdex
72c6b000-72c6c000 r--p 00011000 fd:06 29851755                           /system/framework/arm64/boot-ims-common.oat
72c6c000-72c6d000 rw-p 00012000 fd:06 29851755                           /system/framework/arm64/boot-ims-common.oat
72c6d000-72c6f000 r--p 00000000 fd:06 29518587                           /system/framework/arm64/boot-android.test.base.oat
72c6f000-72c70000 r-xp 00002000 fd:06 29518587                           /system/framework/arm64/boot-android.test.base.oat
72c70000-72c71000 r--s 00000000 fd:06 29740152                           /system/framework/boot-android.test.base.vdex
72c71000-72c72000 r--p 00003000 fd:06 29518587                           /system/framework/arm64/boot-android.test.base.oat
72c72000-72c73000 rw-p 00004000 fd:06 29518587                           /system/framework/arm64/boot-android.test.base.oat
